observed_at,master_drive_id,master_modified_time,sheet,row,file_name,canonical_drive_id,raw_duplicate_id,bytes,pages,sha256,acquisition_state,text_state,visual_state,quote_state
2026-08-02T11:08:47+03:00,1y9d_7bWAEsz8iYdMuRrtb6onDYEXLQx5PgT95oYNsSM,2026-08-02T08:08:47.168Z,12 Drive Acquisitions,51,А_Синичкин_К_вопросу_о_крещении_первого_русского_баптиста.pdf,1yH-oxjymaDJi4g5Els8xpRiqKFgWDD7V,1nPb63h0DLbhx582WFpVPeXS2fH5UFT8O,542143,14,3d33eb3691dd18f0109028cf1c2c51bb71e21b882dfddfff4393438311498c1c,CANONICAL_DRIVE_REGISTERED,TEXT_LAYER_PRESENT,PENDING,NOT_APPROVED
2026-08-02T11:08:47+03:00,1y9d_7bWAEsz8iYdMuRrtb6onDYEXLQx5PgT95oYNsSM,2026-08-02T08:08:47.168Z,12 Drive Acquisitions,52,Никита Исаевич Воронин.pdf,17O1csxPvxZO0T4Wq0TaRmT69yQ1dkEmT,1_PxsBG7YrO58B3yajjNt5MF08WlZDrbV,244468,5,6d23e500ef19dc457d2f23c06b695ea95e2670759558e0419847022ccc969cc9,CANONICAL_DRIVE_REGISTERED,TEXT_LAYER_PRESENT,PENDING,NOT_APPROVED
