uploaded_date,series,year,issue,file_name,drive_id,bytes,pages,sha256,status
"2026-07-31","БАПТИСТ","1909","24","Баптист 1909 №24.pdf","1V4_iDVrBMUvs6-6d2ekywb0tgrU7Wmy7","10556080","24","40ab43d242b7f249dba3ee99d97c91ce98c67210da738e951e41d3287318d7d6","VERIFIED; PHYSICALLY IN CANONICAL DRIVE"
"2026-07-31","БАПТИСТ","1909","PACKAGE-01","PART-01_ISSUES-02-09.zip","1XF3_XKaC0ocdd0kPfwVLmrTTB0b5uOJ0","83609650","","12b63424a99b9cdb506ed1019492b4f350879a3e8fea2ce0aa3e56fef2318764","ARCHIVED SOURCE PACKAGE"
"2026-07-31","БАПТИСТ","1909","PACKAGE-02","PART-02_ISSUES-10-16.zip","1Zmcm1YU8xBJqR7u8WEw54rcwG3RjlIfM","73148218","","6ff17c6424f31d04537dabecf9633916c762b4a120a8ed5852c7a35f3f5cadfc","ARCHIVED SOURCE PACKAGE"
"2026-07-31","БАПТИСТ","1909","PACKAGE-03","PART-03_ISSUES-17-24_EXCEPT-20.zip","1rcwA2J0xd4wIJP934f9NL_nQCrMVoN4t","74707247","","08aa4b011394fe561c7f7251d5b34e844202a5bf7e94407e95095b95f8144468","ARCHIVED SOURCE PACKAGE"
"2026-07-31","БАПТИСТ","1909","MANIFEST","BAPTIST_1909_OFFICIAL_PDF_MANIFEST.csv","1E_4o1Okod_NNUjAcpq3u-nazHN7ohFRm","3150","","ea1a80ad4ca5f7cf98b6365591341792b39d230f9e09a1645ac1b60114573bd8","ARCHIVED WITH SOURCE PACKAGE"
"2026-07-31","БАПТИСТ","1909","MANIFEST","BAPTIST_1909_OFFICIAL_PDF_MANIFEST.json","13NqItcLwrn2s9bD4WYlB8mSvlF9ib0r4","7314","","a7c2cc9944ebe0a3d0b37f7792358d32deda63b2bd94010a624bd9f840f8b3a8","ARCHIVED WITH SOURCE PACKAGE"
"2026-07-31","БАПТИСТ","1909","MANIFEST","BAPTIST_1909_ZIP_PARTS_SHA256.csv","1LJAzAaEpNux4gy_WeUwJwqHTr8NXRGlW","365","","1a826e524fc5b5650ca46f90125e3ba3687c0ea790a1249c0014932588c13889","ARCHIVED WITH SOURCE PACKAGE"
"2026-07-31","RESEARCH INTAKE","1917–1929","PACKAGE","RUSSIAN_BAPTISTS_acquisition_packet_2026-07-31.zip","1zq44wKCgZJ3PmgSPILJVQVFZjP3QoFBW","29593822","","ca2b901c4799980da6f6d7788fa15284e07384c119c2e4f79e9ace79e5d6ed45","ARCHIVED IN 90 — SOURCE INTAKES & ORIGINALS"
"2026-07-31","RESEARCH INTAKE","1917–1929","REQUEST LOG","acquisition_requests_2026-07-31.csv","1GNTQsbVoqNjS4b1JJXd239BEYS_ESWX-","1602","","c11d9089ae2004c0aec91f1969ea9e2d86cad0a7d1fc19cfcd54afa55ab28563","ARCHIVED"
"2026-07-31","RESEARCH INTAKE","1917–1929","MANIFEST","SHA256SUMS.txt","136lVSK4akL5jPg0HSgKtzBbEl3UFmsjh","724","","60e3aefcb8fd71414d73382bd67efaf5f8015ef2a682684c45bae8b7f1866eaa","ARCHIVED WITH SOURCE PACKAGE"
"2026-07-31","RESEARCH INTAKE","1917–1929","README","README_RUSSIAN_BAPTISTS_acquisition.txt","1RQkj2AcNl01P4qGhR84A0FBRGyyniK12","3533","","46a2ae227ac6929537ee126aedd45b46f1bfcf1ea5211dafad12bc280a2d2bc3","ARCHIVED WITH SOURCE PACKAGE"
"2026-07-31","1918 DECREE","1918","DECREE","1918 — Декрет об отделении церкви от государства и школы от церкви.pdf","1DBMZB_8usyj2hqXAkZePg4Yi77Nzuh2p","177916","3","7d1e2468f28fcb01e36f521b58f8d51c3e04dfc453be3efb3e4663720e31b400","VERIFIED PRIMARY SOURCE"
"2026-07-31","РЕВОЛЮЦИЯ И ЦЕРКОВЬ","1920","№9–12","1920 — Революция и церковь — №9–12.pdf","1vpiJlF8gZu9CisUJhxexiZXiFgd66W1Y","28973536","113","e4049614bd79ea7f9b50f9ebfcf8ddf4d37e2b430f61c9d1080fd1102e50f739","VERIFIED PRIMARY SOURCE"
"2026-07-31","SBHLA AR 881","","AR 881","SBHLA AR 881 — Russian Evangelical Archives — finding aid.pdf","1ImfyB9hpoQxqH2DdXlVPOIrmQ_E1ojiH","260903","28","9f157dd87c1b2e15aec800746ba6d78d528c68f81b7fd86dd168a819e6ebaa88","VERIFIED FINDING AID"
"2026-07-31","SBHLA AR 915","","AR 915","SBHLA AR 915 — Albert Wardin Russian Baptists Collection — finding aid.pdf","1MRL3MPovajDDS5RlYAe2cQsVKV8OTg7X","489546","85","2c1b92694e29a936908ca7cecbc9876e51bc5b87e35482b78149124426b58c29","VERIFIED FINDING AID"
"2026-07-31","СЛОВО ИСТИНЫ","1918","№9–12","Слово истины, 1918, №9-12.pdf","1ttsmeqTjjh9FVocrmocJipc1KOcFRxhr","2288722","16","e71a4c59480717b829c94b0ede45b6d40748fb0a232278bcf89be50397ab81fd","VERIFIED FACSIMILE"
"2026-07-31","СЛОВО ИСТИНЫ","1918","№13","Слово истины, 1918, №13.pdf","1Swn3K81bfOh6tDmFtzNsDVv-Lu90blpz","977539","4","b382b86b4cd288f082be528e714ee1b1d16d4e11e0bcd582f72a5394a0f31d39","VERIFIED FACSIMILE"
"2026-07-31","СЛОВО ИСТИНЫ","1918","№14","Слово истины, 1918, №14.pdf","1NsqT1NE-zA0_aq369nrLLbBi9f6eZoWJ","713848","4","65014b2fdcb6737ac6d2e354389b2e7ca3ec4d37fabff49c56c5947f9aa1caea","VERIFIED FACSIMILE"
"2026-07-31","ГОСТЬ","1918","№8","Гость, 1918, №8.pdf","10AWu4IbFAlteD2s1e2e3d7dUXNgs5ZsX","4158758","16","ca925f0e45a6dfc68d568716f308c569a03ba84f757989a2451d66489877dc94","VERIFIED FACSIMILE"
"2026-07-31","ГОСТЬ","1934","January","_Гость_ январь 1934 года.pdf","1YuE16hkyQ4AWN_5ElDzXKr3pBrObJaaU","6905186","6","9b8e168c9f626d103cb8f0174ea8e504885446ae72e3c0838ffba676d412b328","VERIFIED INCOMPLETE FACSIMILE"
"2026-07-31","ГОСТЬ","1934","February","_Гость_ февраль 1934 года.pdf","1ecctAJGJqkyaUN7HKimzI7OE826b-NEQ","7470878","8","18fcda33cb1cc82921ea48dea5cdefd23b2f9992785f6a81503ab8c250731feb","VERIFIED FACSIMILE"
"2026-07-31","ГОСТЬ","1934","March","_Гость_ март 1934 года.pdf","1pMQMafP40p8YJo2ek3iNBNdKzmRat_SG","6134937","7","2a941992891e49083ca873a0b119e37c9ec26bef86091dbee8eaf1fb5431858a","VERIFIED INCOMPLETE FACSIMILE"
"2026-07-31","ГОСТЬ — RESEARCH CONTROL","2026","Batch A","ГОСТЬ — Research Control — 2026-07-31 — AGENT-GUEST-20260731-A","1uejdmSwd98h8z5t-FNWy3JTfbr7DZ8CClPYYkZduves","","","","NATIVE GOOGLE DOC"
"2026-07-31","ГОСТЬ — SOURCE REGISTER","2026","Batch A","ГОСТЬ — Source Register — 2026-07-31 — AGENT-GUEST-20260731-A","1g-XcJGLZUjqF9GWi1C99zPCXIiS6rYnzCQ-zX3ciSYo","","","","NATIVE GOOGLE SHEET"
"2026-07-31","ГОСТЬ — REQUEST REGISTER","2026","Batch A","ГОСТЬ — Institutional Request Register — 2026-07-31 — AGENT-GUEST-20260731-A","15JK5KA4UwYN5xqbS_ZEqiS_-eq4xNQ_YOTWvAWHNCM0","","","","NATIVE GOOGLE SHEET"
"2026-07-31","БРАТСКИЙ ЛИСТОК — AUDIT REGISTER","1906–1910","Batch A","БРАТСКИЙ ЛИСТОК 1906–1910 — АУДИТ И РЕЕСТР — 2026-07-31","15L76H5bufK9Pr8EelwO-KZTYXuKX-weKnOh7qV_ze6k","","","","NATIVE GOOGLE SHEET"
"2026-07-31","RESEARCH REGISTRY","1917–1929","NATIVE GOOGLE SHEET","РУССКИЕ БАПТИСТЫ — SOURCE REGISTRY 1917–1929 — 2026-07-31 04-27","1whDlgYvHmtbd5vF75lhx6v5oOpNL3RHzyq75lQYvxFA","","","","NATIVE GOOGLE SHEET"
